tract,pm25,pm25_pct,poverty,poverty_pct,nearest_sensor_km,sensors_within_1km,ces_score,latitude,longitude
6037132502,13.2969311,99.52277657266812,47.5,72.25596529284165,1.585559373277756,0,45.2285615452483,34.1911391,-118.5469513
6037131010,13.17311521,99.3058568329718,42.8,65.11930585683298,1.7915607247484195,0,47.5265693024278,34.214735,-118.5382539
6037139303,13.04237213,99.02386117136659,42.2,64.03470715835141,2.549678490205155,0,43.7469065555353,34.1762844,-118.5333073
6037139302,13.04237213,99.02386117136659,42.5,64.57700650759219,2.553079027076279,0,49.2078265287611,34.1767231,-118.5383656
6037402101,12.91137126,98.6117136659436,51.5,78.3297180043384,1.5723898423299312,0,58.5657690316527,34.0860588,-117.7337541
6037402702,12.88889973,98.52494577006507,64.4,93.40563991323211,2.2380270591463143,0,59.5920987997355,34.0640498,-117.7259547
6037402801,12.75120791,97.9175704989154,54.4,81.99566160520607,2.0728695009175544,0,64.8193763570501,34.0542821,-117.7349296
6037402804,12.71142454,97.70065075921909,54.0,81.36659436008676,2.720100969994253,0,59.0878669605605,34.0483608,-117.7322415
6037402903,12.67648041,97.44034707158352,49.1,74.55531453362256,3.479535980051887,0,48.2290702949711,34.039394,-117.7335433
6037402803,12.6367597,97.04989154013015,53.8,81.08459869848156,2.201665274372003,0,36.0615491327863,34.0478488,-117.7453051
6037115403,12.58335026,96.61605206073752,48.7,74.03470715835141,1.524773820849196,0,49.9725843730141,34.2247342,-118.5317299
6037402902,12.57603309,96.48590021691975,51.6,78.39479392624729,3.711730280138705,0,53.0468979425061,34.0340192,-117.7449619
6037402301,12.57041626,96.44251626898048,50.0,75.90021691973969,1.721377449928403,0,46.3155283669959,34.0680438,-117.7700769
6037402501,12.55391098,96.31236442516268,68.3,96.42082429501085,1.8501397793938619,0,50.8104501219961,34.0542894,-117.7643708
6037115302,12.55151073,96.26898047722344,50.7,77.4186550976139,1.818679599127093,0,53.3160438575648,34.2259651,-118.5503049
6037403000,12.54493086,96.22559652928416,48.5,73.79609544468546,3.2844829756109553,0,50.8851331351033,34.0378439,-117.7572801
6037402502,12.50761355,95.79175704989153,52.3,79.3709327548807,2.300897475790124,0,40.4758447331458,34.0477052,-117.7604508
6037402406,12.49065577,95.66160520607376,58.6,87.11496746203905,2.8863176542616023,0,51.5064917883866,34.0670423,-117.7827836
6037402402,12.44092467,95.22776572668113,42.8,65.11930585683298,3.510224938859322,0,66.3970268048572,34.0546198,-117.7865057
6037127604,12.43581973,95.18438177874187,45.2,69.13232104121475,1.9436575299389753,0,54.1910094139994,34.1993151,-118.479788
6037570403,12.4277485,95.09761388286334,57.6,86.03036876355749,1.7176148371375883,0,74.3686763105795,33.8778668,-118.2044859
6037127603,12.32883267,93.64425162689804,59.6,88.48156182212581,1.9804592499605227,0,50.4519425729715,34.1957245,-118.4800026
6037127605,12.32883267,93.64425162689804,65.4,94.14316702819957,1.8747404259137077,0,49.6780910206503,34.189727,-118.4847378
6037402405,12.31792977,93.44902386117137,49.9,75.72668112798264,3.8210086657021454,0,53.4301549273017,34.0671411,-117.7929465
6037204110,12.28627082,92.84164859002169,44.6,67.96095444685466,1.6963910487426974,0,37.1918163118193,34.0387869,-118.1987145
6037203800,12.28627082,92.84164859002169,58.9,87.50542299349242,1.8626065581642126,0,33.3668062698173,34.0449856,-118.1955756
6037530801,12.28025039,92.73318872017353,57.1,85.53145336225596,1.8204254174643484,0,58.2141786873873,34.0508765,-118.1883898
6037205120,12.27407804,92.66811279826464,82.3,99.32754880694144,1.505058263090373,0,75.7242412549122,34.0187546,-118.2117956
6037204910,12.25496306,92.3644251626898,55.2,83.27548806941432,1.894022893075507,0,64.9212274937648,34.0248828,-118.1955701
6037542402,12.25258001,92.23427331887201,43.5,66.03036876355748,2.2608742953767225,0,80.7088130303389,33.881969,-118.2124134
6037531901,12.24148594,92.06073752711497,47.1,71.6702819956616,3.0562244135476595,0,51.6368372220173,34.01324,-118.1423614
6037531701,12.23883919,91.90889370932754,52.5,79.73969631236443,1.968539593475352,0,44.2220869314457,34.0216887,-118.1520851
6037530302,12.23883919,91.90889370932754,45.8,69.97830802603036,2.165813267144751,0,49.5577570248704,34.0278115,-118.1479458
6037203900,12.23190845,91.64859002169197,49.7,75.2060737527115,2.0509806732227416,0,45.2739416530042,34.0333782,-118.1944844
6037530301,12.23170295,91.58351409978309,46.2,70.67245119305858,1.759054205853068,0,49.5959510222119,34.0294615,-118.155189
6037224010,12.22607702,91.23644251626898,62.2,90.80260303687635,1.7511069969441948,0,62.7282001579397,34.0367637,-118.2658977
6037134101,12.21868346,90.73752711496746,42.8,65.11930585683298,2.093762362810437,0,42.9400442039193,34.2143034,-118.5666433
6037543202,12.21666021,90.58568329718004,56.8,85.18438177874187,2.52860359341855,0,79.2901191067663,33.8798617,-118.230032
6037532200,12.21276924,90.54229934924078,51.8,78.72017353579176,4.64809647373921,0,52.1484781150896,33.9867681,-118.1226036
